,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
20,46.86683773994446,0.6058829258516335,2.254226287206014,0.03675215535850554,512,0.4,20,64,2,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 64, 'n_layers': 2}",0.7466474050246872,0.7495193767017274,0.7479729449057745,0.7480465755440631,0.0011736329442096742,15,0.7431212556588686,0.7462511238721745,0.7446923865849195,0.7446882553719876,0.0012777666866727493,15,0.9285422542856635,0.9301735596026732,0.929307168951302,0.9293409942798796,0.0006664069697345023,13
21,55.64653491973877,0.38988871362845784,2.262727896372477,0.009224123179329849,512,0.4,20,64,3,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 64, 'n_layers': 3}",0.7507854390693786,0.7535006198904768,0.7521808873889068,0.7521556487829207,0.0011086115830891065,12,0.7477793741585116,0.7503128769772244,0.7487179950572215,0.7489367487309858,0.0010458008129165747,13,0.9294327669715943,0.9302858097721568,0.9294005198241695,0.9297063655226401,0.00040994040083298526,12
22,72.21359173456828,1.0421175973471415,2.4392577012379966,0.05377483186962377,512,0.4,20,64,5,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 64, 'n_layers': 5}",0.7480482216589263,0.7492277081989419,0.7470925640029884,0.7481228312869522,0.0008732640424766975,14,0.7450007680699757,0.7463595577704183,0.7441411809355134,0.7451671689253025,0.0009132600501867886,14,0.9258099739590261,0.9255758052519217,0.9249499926255295,0.9254452572788258,0.0003630188732010686,17
23,94.27960435549419,1.6007353758162044,2.6179571946461997,0.058063796620092804,512,0.4,20,64,7,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 64, 'n_layers': 7}",0.7416690488852525,0.7385252716480878,0.739818326452014,0.7400042156617848,0.0012901550108315699,20,0.7394797003623483,0.7363791210528932,0.7375041227471728,0.737787648054138,0.001281584426487439,20,0.9166001664559384,0.9165040329996023,0.9180927159218829,0.9170656384591411,0.0007273130899462467,24
24,49.33926868438721,0.33226254528704424,2.34490958849589,0.031662485125429685,512,0.4,20,32,2,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 32, 'n_layers': 2}",0.7338050673312781,0.7370933318458682,0.733503030675033,0.7348004766173931,0.0016259756782699589,21,0.7310670750991713,0.7347029137092074,0.7311110408298808,0.7322936765460865,0.0017036824875332555,21,0.9210776176007407,0.9217113055686379,0.9205861540030856,0.9211250257241548,0.00046056281438431966,20
25,58.935776154200234,0.4636227011685826,2.3807095686594644,0.013153593118973798,512,0.4,20,32,3,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 32, 'n_layers': 3}",0.7352007482019061,0.7328762901229522,0.732102059404295,0.7333930325763843,0.0013167472899774644,22,0.7324089385272936,0.7302390515648367,0.729425797328008,0.7306912624733796,0.001259140946061377,22,0.9199344450861938,0.9171120768820534,0.9194809274379361,0.9188424831353945,0.0012375106505997087,21
26,77.66870880126953,0.5647209351788061,2.5644466876983643,0.1029365957753199,512,0.4,20,32,5,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 32, 'n_layers': 5}",0.7246869105426877,0.736084817927701,0.7307674104028108,0.7305130462910666,0.004656651086731921,23,0.7216378866328715,0.7324529103206481,0.7274242882895908,0.7271716950810369,0.004418826151709495,24,0.9095227266177937,0.9166272722951495,0.9141133815017504,0.9134211268048977,0.0029414344283466786,25
27,96.14793125788371,0.8982202330421863,2.7026376724243164,0.005483136822007036,512,0.4,20,32,7,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 32, 'n_layers': 7}",0.6254783119779976,0.5244184133388067,0.7154764286115507,0.6217910513094517,0.07804267302110376,30,0.6257917897837657,0.5608653025079857,0.7142540877320598,0.6336370600079371,0.06286594762825093,30,0.87328897974767,0.8639370313196487,0.8937924274021871,0.8770061461565021,0.01246860493117344,30
28,49.91570313771566,0.3732581396528567,2.328406731287638,0.018796084369751765,512,0.4,20,16,2,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 16, 'n_layers': 2}",0.7189511092377183,0.7181408097330033,0.7147556917653228,0.7172825369120148,0.0018171142173523383,26,0.7170791654242006,0.7158128250193148,0.7146336063759132,0.7158418656064761,0.0009986064561651419,26,0.9076607054633605,0.9040374621311088,0.9049611612157111,0.9055531096033934,0.0015372649373560504,27
29,58.096129735310875,0.6641538793087154,2.3749141693115234,0.006365185661416411,512,0.4,20,16,3,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 16, 'n_layers': 3}",0.6297771483284108,0.6793031702292515,0.705793718319746,0.6716246789591361,0.03150501705496887,29,0.6422284872635926,0.682035665716364,0.7045266634437702,0.6762636054745755,0.02575853513459488,29,0.8765695308078465,0.89174946927102,0.8989677581587345,0.8890955860792004,0.009334611904533371,29
30,75.9219041665395,0.8044114823691978,2.5267744064331055,0.07058459660752275,512,0.4,20,16,5,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 16, 'n_layers': 5}",0.5278109899816574,0.5215552505621416,0.6067146424379496,0.5520269609939162,0.0387542724114755,31,0.5609124671311231,0.559134878215178,0.6157915900475753,0.5786129784646254,0.026299262664130747,31,0.847382135563738,0.8275035810420425,0.8721685074262107,0.8490180746773305,0.018271036000791472,31
31,100.53036101659139,2.3477385604105128,2.7496465047200522,0.1364644098028575,512,0.4,20,16,7,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 16, 'n_layers': 7}",0.14192926016132718,0.12375282099508471,0.1608678049403532,0.14218329536558835,0.015153193474823214,32,0.24058210668040156,0.23065697388098477,0.24843561511387818,0.23989156522508814,0.007274506015215704,32,0.7295822642187327,0.7386404278594382,0.7576550414369796,0.7419592445050501,0.011698464660849683,32
